time_window,id.orig_h,id.resp_h,ts_count,ts_min,ts_max,tid_nunique,unit_nunique,id.orig_p_nunique,duration,transaction_rate,iat_mean,iat_std,iat_min,iat_max
29376217,192.168.0.21,192.168.0.12,1800,1.76257302e+09,1.76257308e+09,597,1,1,59.50057817,30.0,0.033333487,0.124577652,0.0,0.502059221
29376274,192.168.0.11,192.168.0.12,2700,1.76257644e+09,1.7625765e+09,895,1,1,59.7916038,45.0,0.022222302,0.062579938,0.0,0.20861125
29376274,192.168.0.12,192.168.0.11,898,1.76257644e+09,1.7625765e+09,300,1,1,59.80012083,14.96666667,0.066592777,0.094148395,0.0,0.200717926
29376274,192.168.0.21,192.168.0.11,2880,1.76257644e+09,1.7625765e+09,955,1,1,59.50194001,48.0,0.020833647,0.099728217,0.0,0.500408649
29376274,192.168.0.21,192.168.0.12,1800,1.76257644e+09,1.7625765e+09,598,1,1,59.50191402,30.0,0.0333339,0.124566324,0.0,0.500696898
29376275,192.168.0.11,192.168.0.12,2700,1.7625765e+09,1.76257656e+09,898,1,1,59.80093908,45.0,0.022222386,0.062582909,0.0,0.208190203
29376275,192.168.0.12,192.168.0.11,900,1.7625765e+09,1.76257656e+09,300,1,1,59.80002093,15.0,0.066666908,0.094176371,0.0,0.200750113
29376275,192.168.0.21,192.168.0.11,2880,1.7625765e+09,1.76257656e+09,951,1,1,59.50160909,48.0,0.020833261,0.099724131,0.0,0.500400782
29376275,192.168.0.21,192.168.0.12,1800,1.7625765e+09,1.76257656e+09,597,1,1,59.50128984,30.0,0.03333326,0.124561065,0.0,0.500636816
29376276,192.168.0.11,192.168.0.12,2700,1.76257656e+09,1.76257662e+09,892,1,1,59.80082703,45.0,0.022222284,0.062599064,0.0,0.208444118
29376276,192.168.0.12,192.168.0.11,900,1.76257656e+09,1.76257662e+09,299,1,1,59.8003509,15.0,0.06666712,0.09417525,0.0,0.20134902
29376276,192.168.0.21,192.168.0.11,2880,1.76257656e+09,1.76257662e+09,953,1,1,59.50128102,48.0,0.020833149,0.099722217,0.0,0.500218868
29376276,192.168.0.21,192.168.0.12,1800,1.76257656e+09,1.76257662e+09,595,1,1,59.50119281,30.0,0.033333083,0.124573053,0.0,0.500721931
29376277,192.168.0.11,192.168.0.12,2700,1.76257662e+09,1.76257668e+09,894,1,1,59.80014801,45.0,0.022221961,0.06260749,0.0,0.202279091
29376277,192.168.0.12,192.168.0.11,900,1.76257662e+09,1.76257668e+09,299,1,1,59.7999773,15.0,0.066666566,0.094178731,0.0,0.201338053
29376277,192.168.0.21,192.168.0.11,2880,1.76257662e+09,1.76257668e+09,949,1,1,59.50141001,48.0,0.020833569,0.099692595,0.0,0.500256062
29376277,192.168.0.21,192.168.0.12,1800,1.76257662e+09,1.76257668e+09,597,1,1,59.50084281,30.0,0.033333709,0.124575825,0.0,0.500964165
29376218,192.168.0.11,192.168.0.12,2700,1.76257308e+09,1.76257314e+09,890,1,1,59.80130506,45.0,0.02222228,0.062572684,0.0,0.207777262
29376218,192.168.0.12,192.168.0.11,900,1.76257308e+09,1.76257314e+09,300,1,1,59.79993129,15.0,0.066666177,0.094176578,0.0,0.200961113
29376218,192.168.0.21,192.168.0.11,2880,1.76257308e+09,1.76257314e+09,955,1,1,59.50067496,48.0,0.020833341,0.09970114,0.0,0.500558853
29376218,192.168.0.21,192.168.0.12,1800,1.76257308e+09,1.76257314e+09,597,1,1,59.50023317,30.0,0.033333352,0.124560497,0.0,0.500841856
29376219,192.168.0.11,192.168.0.12,2700,1.76257314e+09,1.7625732e+09,896,1,1,59.80057907,45.0,0.022222264,0.062591393,0.0,0.207508087
29376219,192.168.0.12,192.168.0.11,900,1.76257314e+09,1.7625732e+09,299,1,1,59.80009484,15.0,0.06666741,0.094173762,0.0,0.201897383
29376219,192.168.0.21,192.168.0.11,2880,1.76257314e+09,1.7625732e+09,954,1,1,59.50063896,48.0,0.020833324,0.099698081,0.0,0.5004282
29376219,192.168.0.21,192.168.0.12,1800,1.76257314e+09,1.7625732e+09,595,1,1,59.50040388,30.0,0.033333165,0.124611082,0.0,0.501123905
29376220,192.168.0.11,192.168.0.12,2700,1.7625732e+09,1.76257326e+09,897,1,1,59.80069685,45.0,0.022222096,0.062570734,0.0,0.20793128
29376220,192.168.0.12,192.168.0.11,900,1.7625732e+09,1.76257326e+09,300,1,1,59.80001402,15.0,0.066666032,0.094169193,0.0,0.200860977
29376220,192.168.0.21,192.168.0.11,2880,1.7625732e+09,1.76257326e+09,950,1,1,59.50084496,48.0,0.020833329,0.099705948,0.0,0.500282049
29376220,192.168.0.21,192.168.0.12,1800,1.7625732e+09,1.76257326e+09,600,1,1,59.50029683,30.0,0.033333295,0.124626546,0.0,0.500965834
